round,boxer,punch_type,outcome,mayweather,pacquiao,jab,power,landed,missed
5,Mayweather,jab,landed,1,0,1,0,1,0
5,Mayweather,jab,landed,1,0,1,0,1,0
5,Mayweather,jab,landed,1,0,1,0,1,0
5,Mayweather,jab,missed,1,0,1,0,0,1
5,Mayweather,jab,missed,1,0,1,0,0,1
5,Mayweather,jab,missed,1,0,1,0,0,1
5,Mayweather,jab,missed,1,0,1,0,0,1
5,Mayweather,jab,missed,1,0,1,0,0,1
5,Mayweather,jab,missed,1,0,1,0,0,1
5,Mayweather,jab,missed,1,0,1,0,0,1
5,Mayweather,jab,missed,1,0,1,0,0,1
5,Mayweather,jab,missed,1,0,1,0,0,1
5,Mayweather,jab,missed,1,0,1,0,0,1
5,Mayweather,jab,missed,1,0,1,0,0,1
5,Mayweather,jab,missed,1,0,1,0,0,1
5,Mayweather,jab,missed,1,0,1,0,0,1
5,Mayweather,jab,missed,1,0,1,0,0,1
5,Mayweather,jab,missed,1,0,1,0,0,1
5,Mayweather,jab,missed,1,0,1,0,0,1
5,Mayweather,jab,missed,1,0,1,0,0,1
5,Mayweather,jab,missed,1,0,1,0,0,1
5,Mayweather,power,landed,1,0,0,1,1,0
5,Mayweather,power,landed,1,0,0,1,1,0
5,Mayweather,power,landed,1,0,0,1,1,0
5,Mayweather,power,landed,1,0,0,1,1,0
5,Mayweather,power,landed,1,0,0,1,1,0
5,Mayweather,power,landed,1,0,0,1,1,0
5,Mayweather,power,missed,1,0,0,1,0,1
5,Mayweather,power,missed,1,0,0,1,0,1
5,Mayweather,power,missed,1,0,0,1,0,1
5,Mayweather,power,missed,1,0,0,1,0,1
5,Mayweather,power,missed,1,0,0,1,0,1
5,Mayweather,power,missed,1,0,0,1,0,1
5,Mayweather,power,missed,1,0,0,1,0,1
5,Mayweather,power,missed,1,0,0,1,0,1
6,Mayweather,jab,landed,1,0,1,0,1,0
6,Mayweather,jab,landed,1,0,1,0,1,0
6,Mayweather,jab,landed,1,0,1,0,1,0
6,Mayweather,jab,landed,1,0,1,0,1,0
6,Mayweather,jab,landed,1,0,1,0,1,0
6,Mayweather,jab,landed,1,0,1,0,1,0
6,Mayweather,jab,landed,1,0,1,0,1,0
6,Mayweather,jab,landed,1,0,1,0,1,0
6,Mayweather,jab,landed,1,0,1,0,1,0
6,Mayweather,jab,landed,1,0,1,0,1,0
6,Mayweather,jab,landed,1,0,1,0,1,0
6,Mayweather,jab,landed,1,0,1,0,1,0
6,Mayweather,jab,landed,1,0,1,0,1,0
6,Mayweather,jab,missed,1,0,1,0,0,1
6,Mayweather,jab,missed,1,0,1,0,0,1
6,Mayweather,jab,missed,1,0,1,0,0,1
6,Mayweather,jab,missed,1,0,1,0,0,1
6,Mayweather,jab,missed,1,0,1,0,0,1
6,Mayweather,jab,missed,1,0,1,0,0,1
6,Mayweather,jab,missed,1,0,1,0,0,1
6,Mayweather,jab,missed,1,0,1,0,0,1
6,Mayweather,jab,missed,1,0,1,0,0,1
6,Mayweather,jab,missed,1,0,1,0,0,1
6,Mayweather,jab,missed,1,0,1,0,0,1
6,Mayweather,jab,missed,1,0,1,0,0,1
6,Mayweather,power,landed,1,0,0,1,1,0
6,Mayweather,power,landed,1,0,0,1,1,0
6,Mayweather,power,landed,1,0,0,1,1,0
6,Mayweather,power,landed,1,0,0,1,1,0
6,Mayweather,power,landed,1,0,0,1,1,0
6,Mayweather,power,landed,1,0,0,1,1,0
6,Mayweather,power,landed,1,0,0,1,1,0
6,Mayweather,power,landed,1,0,0,1,1,0
6,Mayweather,power,missed,1,0,0,1,0,1
6,Mayweather,power,missed,1,0,0,1,0,1
6,Mayweather,power,missed,1,0,0,1,0,1
6,Mayweather,power,missed,1,0,0,1,0,1
6,Mayweather,power,missed,1,0,0,1,0,1
7,Mayweather,jab,landed,1,0,1,0,1,0
7,Mayweather,jab,landed,1,0,1,0,1,0
7,Mayweather,jab,landed,1,0,1,0,1,0
7,Mayweather,jab,landed,1,0,1,0,1,0
7,Mayweather,jab,landed,1,0,1,0,1,0
7,Mayweather,jab,landed,1,0,1,0,1,0
7,Mayweather,jab,landed,1,0,1,0,1,0
7,Mayweather,jab,landed,1,0,1,0,1,0
7,Mayweather,jab,landed,1,0,1,0,1,0
7,Mayweather,jab,missed,1,0,1,0,0,1
7,Mayweather,jab,missed,1,0,1,0,0,1
7,Mayweather,jab,missed,1,0,1,0,0,1
7,Mayweather,jab,missed,1,0,1,0,0,1
7,Mayweather,jab,missed,1,0,1,0,0,1
7,Mayweather,jab,missed,1,0,1,0,0,1
7,Mayweather,jab,missed,1,0,1,0,0,1
7,Mayweather,jab,missed,1,0,1,0,0,1
7,Mayweather,jab,missed,1,0,1,0,0,1
7,Mayweather,jab,missed,1,0,1,0,0,1
7,Mayweather,jab,missed,1,0,1,0,0,1
7,Mayweather,jab,missed,1,0,1,0,0,1
7,Mayweather,jab,missed,1,0,1,0,0,1
7,Mayweather,jab,missed,1,0,1,0,0,1
7,Mayweather,jab,missed,1,0,1,0,0,1
7,Mayweather,jab,missed,1,0,1,0,0,1
7,Mayweather,jab,missed,1,0,1,0,0,1
7,Mayweather,jab,missed,1,0,1,0,0,1
7,Mayweather,jab,missed,1,0,1,0,0,1
7,Mayweather,jab,missed,1,0,1,0,0,1
7,Mayweather,jab,missed,1,0,1,0,0,1
7,Mayweather,jab,missed,1,0,1,0,0,1
7,Mayweather,power,landed,1,0,0,1,1,0
7,Mayweather,power,landed,1,0,0,1,1,0
7,Mayweather,power,landed,1,0,0,1,1,0
7,Mayweather,power,landed,1,0,0,1,1,0
7,Mayweather,power,landed,1,0,0,1,1,0
7,Mayweather,power,landed,1,0,0,1,1,0
7,Mayweather,power,missed,1,0,0,1,0,1
7,Mayweather,power,missed,1,0,0,1,0,1
7,Mayweather,power,missed,1,0,0,1,0,1
7,Mayweather,power,missed,1,0,0,1,0,1
8,Mayweather,jab,landed,1,0,1,0,1,0
8,Mayweather,jab,landed,1,0,1,0,1,0
8,Mayweather,jab,landed,1,0,1,0,1,0
8,Mayweather,jab,landed,1,0,1,0,1,0
8,Mayweather,jab,landed,1,0,1,0,1,0
8,Mayweather,jab,landed,1,0,1,0,1,0
8,Mayweather,jab,landed,1,0,1,0,1,0
8,Mayweather,jab,landed,1,0,1,0,1,0
8,Mayweather,jab,landed,1,0,1,0,1,0
8,Mayweather,jab,landed,1,0,1,0,1,0
